,text,likes,reposts,views
0,🎙Путин в Гааге / Трампа Посадили / Артемия Лебедева сажают,6007,1278,123856
1,Стас Live #3 – Закон об иноагентах РФ!,3664,761,92041
2,"Выступил тут чуть-чуть!
Пообщались со студентами обо всяком и впервые встретил своего хейтера в живую.",1466,414,60136
3,🎙Владимир Соловьев и Стас про либералов и коммунистов,9177,2556,203273
4,"Рыночек порешает? - Антонов, такой Антонов",7255,1255,245371
5,СТАС LIVE #2 – Школа социализма!,9569,1595,241383
6,🎙Банкротство банков // Забастовка Wilberries // Последний фильм Тарантино,9269,1430,219823
7,Ужасающая история Первой Чеченской войны!,15668,4511,325201
8,"Первый мой эфир. Я очень волновался.

Но блять, гасить прямо на телике пропагандонов, лжецов и доносить идеи Ленина и Маркса, кто, блять такое еще делал?

А щас еще видеть зарево по всему инету. Следующие эфиры будут еще круче. 
По Воскресеньям в 18:00 

Спасибо вам за поддержку. Что бы там не пиздели псевдокоммунисты и либерда, я верю, что смогу изменить Российское тв к лучшему or die trying.

Впереди подкасты, эфиры, документальные фильмы и новости.",14738,4226,324543
9,,7696,1504,256433
10,,4009,853,189514
11,ЛЕБЕДЕВ И ВАСИЛЬЕВ – 2 ПРОПАГАНДИСТА КРЕМЛЯ,13858,3369,249138
12,,7920,1503,236704
13,,7775,1951,238943
14,,9041,1717,341816
15,🎙️ ЛЕБЕДЕВ ЗАБАНЕН // Я ПРОТИВ СОЛОВЬЕВА / // ПУТИН ТРЯСЕТ ОЛИГАРХОВ – [ЧЗП #41],13005,1525,264690
16,"ЖМИЛЕВСКИЙ про ПИАР НА ВОЙНЕ, ПУТИНА, СВО и БУДУЩЕЕ РОССИИ!",12337,2327,267673
17,🎙️  СЛИВ ПРИГОЖИНА // УМЕР АКТЕР ПАНИН // ПУТИН РАЗДАВЛЕН – [ЧЗП #40],11582,1445,226034
18,⚡️⚡️⚡️СРОЧНО: КАТАСТРОФА УРОВНЯ ЧЕРНОБЫЛЬ!!!!- [ЧЗП #39],9887,1902,247691
19,КИТАЙ НАПАЛ НА САША! // УКРАИН ПРИМЕНИЛА ХИМ. ОРУЖИЕ // ДУДЬ ВЕРНУЛСЯ - [ЧЗП #38],11226,2030,263675
20,БЛОКАДА ЛЕНИНГРАДА,9720,2367,254700
21,🎙СТРЕЛКОВ мы ПРИГОЖИН // ЛЕОПАРДЫ ДЛЯ УКРАИНЫ // КИТАЙ ОБОГНАЛ США,12762,2062,291011
22,"ЖОРА GRPZDC – ДЕКОЛОНИЗАЦИЯ РОССИИ, ПРИГОЖИН И ЧВК ''ВАГНЕР''!",11875,2182,392239
23,,3004,240,270893
24,ВВЕРГАЯ УКРАИНУ В АД // ПРИГОЖИН ВЫИГРЫВАЕТ //  ОТКАТЫ ЕВРОСОЮЗУ   – [чзп 36],13872,2202,324549
25,🎙ЛАВРОВ ОБ УБИЙСТВЕ ПУТИНА // ТРАГЕДИЯ В МАКЕЕВКЕ // ОТВЕТ СТАРИКУ СЕМИНУ – [чзп 35],12736,2071,351651
26,АРМАГЕДДОН ИЛИ РОСТ? – ГЕОСТРАТЕГ О БУДУЩЕМ РОССИИ,12702,2286,359511
27,🎙Я ИДУ В RT // МЕНЯ УДАЛИЛИ С YOUTUBE // ДУДЬ – ВСЁ // ПРОРОЧЕСТВА ШАРИЯ - [чзп 34],15853,2562,346545
28,"ДЕТСКИЙ ДОМ, РЕЖИССУРА, ДНР И ТЮРЬМА – КРУПНОКАЛИБЕРНЫЙ ПЕРЕПОЛОХ",16795,2755,399345
29,,6300,819,282184
30,🎙САНКЦИИ НА ПУЧКОВА // МНЕ УДАЛИЛИ КАНАЛ // МОРГЕНШТЕРН vs OXXXYMIRON – [чзп #33],9649,909,281104
31,"Друзья, будьте осторожны. Про меня распространяют клевету.",2784,62,198621
32,КАК YOUTUBE и TWITTER СВОДЯТ РОССИЯН С УМА - [когнитивные воины 2],11412,2844,324524
33,,2296,88,141601
34,"Начали херачить уже и второй канал.
Еще один страйк, беседа с Алексеем Кочетковым удалена.

Надеюсь хотя бы второй канал доживет до Нового Года.",3036,156,167047
35,,2528,210,109002
36,,3643,400,109375
37,"Поздравьте меня. Канал на YouTube удаляют. Третий страйк. За Донбасский Дневник. 

Новостной выпуск гружу на второй канал. Основной будет удален до нового года. Отбить его точно не удастся. 

Никто не обьясняет мне за что, техподдержка молчит. В общем, жаль. Будет не хватать его.",5987,1148,173761
38,ЧЕРНОЕ СОЛНЦЕ УКРАИНЫ: ИСТОРИЯ АЗОВА – Алексей Кочетков,7169,2156,177001
39,🎙 ТРИБУНАЛ РФ В ГААГЕ // ПОТЕРИ ВС УКРАИНЫ // APPLE ПРОТИВ МАСКА,4653,479,142252
40,,6091,1666,167346
41,🎙 Я ЗАКРЫВАЮ КАНАЛ // ЯНДЕКС ОТЖАЛИ  // ХЕРСОН – НАШ КРЫМ – [чзп 30],4314,386,120563
42,🎙СДАЧА ХЕРСОНА // ЗА VPN ТЕПЕРЬ САЖАЮТ // ВАГНЕР И КУВАЛДА,3480,270,135138
43,🎙 Badcomedian vs Noize MC // РУДОЙ И НЕВСКИЙ // Шульман с Топлесом! – [чзп #28],3164,300,135162
44,🎙ГРЯЗНАЯ БОМБА // ЗЕРНОВАЯ СДЕЛКА ВСЁ // СРОК ДЛЯ СОБЧАК,3554,223,128839
45,🎙ДОЧУБАЙСЯТИЛИСЬ... // ЧЕЙ КРЫМ? // БЛЭКАУТ В УКРАИНЕ,3419,259,120829
46,🎙УДАРЫ ПО КИЕВУ // ТЕРРАКТ НА КРЫМСКОМ МОСТУ // ДОНБАСС ЦЕ РОССИЯ,4786,411,124702
47,ДОНБАССКИЙ ДНЕВНИК. КАК Я ПОБЫВАЛ НА ВОЙНЕ  (Документальный фильм 2022),19306,6323,484525
48,"Друзья, новостей на этой неделе не будет. Денно и нощно работаю, чтобы закончить свой фильм. 

''Донбасский Дневник'' выйдет в ближайшие дни. Задержка из-за разросшегося уже свыше трех часов хронометража. 

Не теряйте. Закончу свой Magnum Opus и новости будут выходить в обычном режиме.",5036,307,213402
49,🎙ОБРАЩАЮСЬ К ШОЙГУ // ВЫДАЧА АЗОВА // МОБИЛИЗАЦИЯ,3763,421,133741
50,ПУТИН ОБЪЯВИЛ МОБИЛИЗАЦИЮ...,3943,749,139716
51,🎙Я ZА САМОМОБИЛИЗАЦИЮ // КОНЕЦ ''ЭЛЬБРУСА'' // ЧО ПО ГЕНОЦИДУ?,2799,250,130676
52,🎙 РФ СДАЛИ ИЗЮМ...// КОНТРНАСТУПЛЕНИЕ // МЫ ПРОИГРАЛИ,2718,284,100470
53,🎙СМЕРТЬ ПУТИНА // Горбачев – спасибо за все // ПЕРЕМОГА НЕВЗОРОВА И ГОРДОНА,2837,224,94587
54,🎙РАЗГОВОР С ГРЯЗЬЮ // выхода нет // ЧЕЙ КРЫМ?,2995,251,121685
55,🎙ВСУ ПОШЛИ  НА КРЫМ //  ОТМЕНА ЗЕЛЕНСКОГО // ХАНА СМАРТФОНАМ В РОССИИ,3177,225,111755
56,🎙Я СТАЛ ГЕЕМ / НОВЫЙ ПРЕЗИДЕНТ УКРАИНЫ / УЕЗЖАЮ ИЗ РАШКИ,3731,328,138191
57,🎙ТАЙВАНЬ В ОГНЕ / СЕРБИЯ В ОГНЕ / МАМА СПАСИ НАС,3034,303,98790
58,ИЗВИНЯЮСЬ ПЕРЕД ГУРИЕВЫМ // слили правду о болезни Путина //BADCOMEDIAN ОТМЕНИЛИ,3325,249,106452
59,"КОГНИТИВНЫЕ ВОЙНЫ – Украина, Зеленский, Навальный, массовое сведение с ума...",10082,4413,230264
60,🎙РОГОЗИН УШЕЛ В APPLE // ГАЧИМУЧИ УКРАИНА // САНКЦИИ НАЧАЛИ СНИМАТЬ,3294,262,114523
61,,2888,191,103647
62,🎙В РОССИИ ДЕФОЛТ // КТО ВЫДАЛ АЗОВ ? // ЗАЧЕМ ОТДАЛИ ЗМЕИНЫЙ?,2807,205,98497
63,🎙 ВЫДАЧА ТАЙРЫ / вата горит от Токаева / ЯШИН У ДУДЯ И LITTLE BIG,2144,134,86661
64,🎙РОУЛИНГ В ДУРКУ / РОССИЯ БЕЗ IKEA / НАВАЛЬНОМУ УЖЕСТОЧИЛИ,2481,162,81183
65,🎙 КОНЕЦ ВОЙНЫ! / ПОЕДАЯ СОБАК / АНАЛИТИКА ITPEDIA,2552,146,78194
66,ТИНЬКОФ ОФИГЕЛИ // РАЗОБЛАЧЕНИЕ МАСКА // КОГДА РОССИЯ ЗАЖИВЕТ?,2696,159,76414
67,🎙OXYMIRON ПРИЗНАЛСЯ В ФАШИЗМЕ //  МИХАЛКОВ ОТМЕНИЛ ПИВОВАРОВА // БЛЭКАУТ США,2770,193,72619
68,YOUTUBE ЗАМЕДЛИЛИ /НЕВЗОРОВ УКРАИНЕЦ / РОССИЯ В ЕС,2889,177,74072
69,У ПУТИНА РАК // ВОЙНА США С КИТАЕМ // УКРАИНА В ПОЛЬШЕ,2469,212,65324
70,МЕНЯ РАЗОБЛАЧИЛИ НА УКР.ТВ / СПАСИБО ПУТИНУ ОТ НАТО / СК ВЕРНУЛСЯ 🎙,3229,205,79604
71,УКРАИНА ПОШЛА В КОНТРНАСТУПЛЕНИЕ // Шведы и Финны в НАТО! 🎙,3077,234,87044
72,ТИНЬКОВ У ДУДЯ / ГЕНИЙ ЧИЧВАРКИН / ПРАВДА МАКСИМА КАЦА🎙,3738,197,103186
73,ПОБЕДОБЕСИЕ / КОММУНИСТ ВАРЛАМОВ / СТАС БОМБИТ🎙,3719,233,93909
74,ЗАВТРА 9 МАЯ МОБИЛИЗАЦИЯ / СОБЧАК И ДУДЬ / БАБУШКА С ФЛАГОМ У ВСУ🎙,3326,152,95261
75,САМЫЙ ПОДРОБНЫЙ РАЗБОР РОССИЙСКОГО ПРОЦЕССОРА В МИРЕ! – Кремниевые секреты Эльбруса!,4961,527,125678
76,ШАРИЯ ВЫДАЛИ УКРАИНЕ / VILAT – АРХИРУСОФОБ И НАЦИСТ 🎙,3366,184,82430
77,"НА МЕНЯ ЗАВЕЛИ ДЕЛО –  ПРОЩАЙ, РОССИЯ! 🎙",4482,294,113606
78,🎙МЕНЯ ВНЕСЛИ В СПИСОК НАВАЛЬНОГО / Галкин прав //Я НА УКРАИНСКОМ ТЕЛЕВИДЕНИИ,3513,189,78672
79,🎙 ВАРЛАМОВ ПРЕВРАТИЛСЯ В КАМИКАДЗЕ ДЕДА //ТИНЬКОВ НАС ПРЕДАЛ // УКРАИНА ЧАСТЬ РОССИИ,4118,224,117379
80,"🎙НЕВЗОРОВ, ПРОСТИ // БАНДЕРА  ГЕРОЙ?",2711,128,76444
81,🎙 ТРАВЛЯ НУРЛАНА // КАЦ И ШЕВЦОВ СДАЮТСЯ // ШУЛЬМАН СБЕЖАЛА,3658,208,115442
82,,3575,153,111384
83,РОССИЯ ПРОИГРАЛА...  нам нужно поговорить...,6347,512,169685
84,Трагедия в Буче // Байден болен // новая война,4640,192,135336
85,Доллар - 25 рублей // НЕВЗОРОВ ВСТУПИЛ В АЗОВ // Понасенков - враг государства,4880,151,121280
86,🎙ДОЛЛАР РУХНУЛ // У КИТАЯ ПРОБЛЕМЫ // НАТО НЕ НАДО,3106,70,88246
87,🎙ТЮРЬМА ДЛЯ НЕВЗОРОВА // как меня купил Кремль // ANDROID ЗАБЛОКИРОВАН В РОССИИ ААААААА,3051,72,93126
88,Этот мир бесповоротно сломан...и поделом ему! – [Omega13],2657,81,78826
89,"Этот мир бесповоротно сломан...и поделом ему! – [Omega13]

СМОТРЕТЬ: https://youtu.be/RtQPqVrX0IA",1998,41,62554
90,"🎙Путин гадит в подьездах США // Шварцнеггер против России // Эдварда Била посадили

СМОТРЕТЬ: https://youtu.be/LBiaMg4bnEc",1734,46,58097
91,"НАЧАТА БЛОКИРОВКА TELEGRAM // ЗЕЛЕНСКИЙ НЕ НАСТОЯЩИЙ // ПОМОГАЮ КСЕНИИ СОБЧАК

СМОТРЕТЬ: https://youtu.be/OM8UxC7XtKI",1516,22,47315
92,"ПРОСТИ МЕНЯ, ОКСИМИРОН // NO WAR НА ПЕРВОМ КНААЛЕ! // ПАДЕНИЕ ДОЛЛАРА

СМОТРЕТЬ: https://youtu.be/p6G0NoKxlEA",1626,51,61278
93,"ПОЧЕМУ ФИЛЬМЫ APPLE ТАКОЕ ГОВНО?

СМОТРЕТЬ: https://youtu.be/mXO724lfFZM",1170,16,61745
94,"КРОВНАЯ ВОЙНА СБЕРА И ЯНДЕКС.БАНКА // ЦИФРОВОЙ РУБЛЬ ЗАРАБОТАЛ...

СМОТРЕТЬ: https://youtu.be/IbhB0pr0F2s",1122,30,60828
95,"ПРОВЕРКА РЕКЛАМЫ

СМОТРЕТЬ:https://youtu.be/iZDWfInBCdY",892,9,51754
96,"НОВЫЙ WINDOWS PHONE НА ЛЮБОМ АНГДРОИД СМАРТФОНЕ // РОССИЯ ЛИДЕР В МИКРОЭЛЕКТРОНИКЕ // XIAOMI - ВСЁ

СМОТРЕТЬ: https://youtu.be/zb0h27gv9E4",784,21,43739
97,"Первый в мире обзор Российского ноутбука, процессора...и ОС!!!

СМОТРЕТЬ: https://youtu.be/lbglIEjxSGI",957,59,43848
98,"Я месяц не пользовался смартфоном...и вот, что случилось...

СМОТРЕТЬ: https://youtu.be/r1lX6UFuFbU",677,22,32743
99,"Прощай, интернет
Смотреть: https://youtu.be/cDsQPUcZ5HU",618,17,28076
